player,kills,deaths,adr,kast,rating,team_on,team_against,map
Twistzz,26,16,86.7,61.5%,1.39,FaZe,Bad News Eagles,Inferno
glowiing,20,9,118.0,89.5%,1.93,Boston crab,K23,Nuke
volt,23,17,91.4,79.3%,1.33,Into the Breach,B8,Ancient
ZEDKO,29,22,99.5,75.0%,1.27,SINNERS,Sampi,Ancient
boX,19,19,85.5,67.9%,1.07,Websterz,MOON,Overpass
misutaaa,20,21,84.0,73.3%,1.1,Falcons,GamerLegion,Overpass
shinobi,25,19,89.0,71.4%,1.15,Eruption,Twisted Minds,Overpass
zur1s,28,17,98.6,80.0%,1.46,Enterprise,ENCE Academy,Mirage
FL1T,16,20,83.5,64.0%,1.05,Virtus.pro,MOUZ,Mirage
nawwk,21,10,79.1,88.9%,1.48,Apeks,Sprout,Inferno
shyyne,16,19,76.2,60.0%,1.05,Coalesce,JANO,Mirage
Forester,20,21,96.9,73.1%,1.17,1WIN,OG,Ancient
DANK1NG,31,19,91.5,66.7%,1.49,TYLOO,Invictus International,Ancient
SpAwNnS,27,14,86.6,74.1%,1.44,Twisted Minds,VERTEX,Anubis
CLASIA,20,20,83.0,59.3%,0.96,yur,Nouns,Inferno
DeStiNy,18,23,88.3,73.3%,1.11,Paquetá,Solid,Inferno
Tuurtle,21,9,88.8,100.0%,1.68,MIBR,00NATION,Anubis
chelo,18,9,110.0,94.7%,1.8,Imperial,TeamOne,Mirage
PREDI,26,17,96.4,82.1%,1.42,WINDINGO,Boca Juniors,Ancient
anarkez,20,18,78.6,72.4%,1.18,ECLOT,Sampi,Ancient
leri511,22,9,86.0,78.3%,1.51,HYDRA,MOON,Nuke
KAISER,32,17,77.9,88.9%,1.43,Furious,FUSION,Inferno
cptkurtka023,21,19,77.4,66.7%,1.07,B8,fnatic,Vertigo
rain,16,18,77.6,69.6%,0.95,FaZe,Natus Vincere,Inferno
oskar,25,18,88.4,66.7%,1.28,SINNERS,Cryptova,Ancient
tN1R,22,21,91.0,70.0%,1.17,Websterz,Forward,Nuke
JUST,15,21,77.2,66.7%,0.96,SAW,OG,Vertigo
Staehr,18,18,90.5,65.2%,1.08,Sprout,Viperio,Vertigo
aNdu,35,21,125.1,76.7%,1.7,sYnck,NAVI Junior,Ancient
Altekz,29,14,112.4,84.6%,1.66,Astralis Talent,Zero Tenacity,Mirage
m1lky,23,9,112.7,90.0%,1.8,EG Gold,Factor Ruby,Vertigo
s1non,24,19,72.4,70.6%,1.21,Black Dragons fe,LRV fe,Mirage
izaa,19,13,101.4,85.7%,1.59,FURIA fe,W7M fe,Anubis
Nayomy,24,18,85.0,60.0%,1.28,NIP Impact,Spirit fe,Mirage
Angelka,23,12,102.1,81.0%,1.6,NAVI Javelins,GUILD,Mirage
JW,28,24,71.3,66.7%,1.12,EYEBALLERS,LDLC,Anubis
Raijin,25,18,107.5,83.3%,1.45,K23,MOON,Overpass
darchevile,25,16,118.6,77.8%,1.61,AGO,BLINK,Ancient
danistzz,35,15,113.7,88.9%,1.87,Boston crab,Forward,Ancient
Lucky,21,20,91.8,78.6%,1.21,HEET,PALOMA,Nuke
bobeksde,27,15,106.0,72.0%,1.68,PROSPECTS,IKLA,Overpass
Kaoday,19,13,92.6,87.0%,1.56,CLG Red,Shimmer,Ancient
Kionetta,29,12,103.7,95.7%,1.75,Detonate SparX,Starfish,Ancient
julih,18,11,75.2,87.0%,1.4,B4 fe,ENDGAME,Vertigo
juliano,18,16,85.8,77.8%,1.19,G2 Oya,9 Pandas Fearless,Ancient
aurora,17,19,91.9,66.7%,1.05,Astralis fe,Aces,Anubis
DEPRESHN,21,10,75.6,77.8%,1.41,iNation,ENCE Academy,Mirage
ultimate,28,10,87.0,88.0%,1.69,PGE Turow,EC Brugge,Ancient
ragga,22,20,85.8,66.7%,1.17,Nexus,Apeks Rebels,Vertigo
KalubeR,24,19,87.9,79.3%,1.25,Partizan,Enterprise,Nuke
sh1ro,23,14,92.7,76.9%,1.5,Cloud9,FORZE,Mirage
kiR,19,16,100.8,68.2%,1.3,Tricked,PROSPECTS,Ancient
sLowi,24,20,103.6,75.0%,1.34,JANO,ENCE Academy,Overpass
bubble,30,12,132.0,95.5%,2.09,359,Iron Branch,Overpass
AZUWU,22,20,92.6,83.3%,1.17,Coalesce,Enterprise,Inferno
niko,21,19,79.7,73.3%,1.11,OG,Cloud9,Mirage
bnox,14,17,82.6,70.0%,0.89,Illuminar,NtK,Vertigo
device,24,21,81.0,68.6%,1.23,Astralis,Cloud9,Ancient
flameZ,30,12,143.7,95.5%,2.32,OG,fnatic,Mirage
nbqq,23,21,82.5,70.0%,1.18,ECLOT,empire goblins,Overpass
naitte,21,23,77.4,63.3%,1.02,ODDIK,Fuscão 1500,Ancient
biguzera,26,20,93.7,73.3%,1.28,paiN,Imperial,Inferno
card,29,18,86.9,70.0%,1.38,MIBR Academy,FURIA Academy,Ancient
Kre1N,23,19,76.1,73.3%,1.22,GHR,BIG Academy,Ancient
HObbit,24,16,87.2,73.3%,1.34,Cloud9,BIG,Inferno
dobbo,23,16,92.8,81.5%,1.47,Into the Bin,ROYALS,Anubis
alexer,23,19,95.5,60.7%,1.26,Desorganizados,RED Canids,Nuke
shox,28,21,100.7,70.0%,1.37,Nakama,EPIC DUDES,Overpass
entz,19,12,82.9,82.6%,1.35,ROYALS,Arctic Raptors,Vertigo
frozen,23,14,105.1,69.6%,1.45,MOUZ,FORZE,Overpass
SasukeQO,37,28,86.2,81.0%,1.3,FROGS,Into the Bin,Ancient
Sterzig,14,16,88.3,65.0%,1.06,undefined,Zero Tenacity,Inferno
mezii,21,15,80.4,70.0%,1.25,fnatic,Ninjas in Pyjamas,Vertigo
