player,kills,deaths,adr,kast,rating,team_on,team_against,map
NickelBack,19,23,81.9,63.3%,1.05,1WIN,Monte,Nuke
FRANSSON,24,18,107.2,81.5%,1.41,PROSPECTS,Young Ninjas,Overpass
detr0ittJ,21,7,76.9,90.9%,1.56,RED Canids,ODDIK,Anubis
SHiPZ,20,11,93.5,87.5%,1.43,500,Insilio,Ancient
hype,28,19,74.0,75.0%,1.19,PROSPECTS,Iron Branch,Overpass
Maze,41,29,86.0,70.8%,1.26,Believe,Budapest Five,Vertigo
ADDICT,21,15,71.8,77.8%,1.28,VERTEX,Rooster,Overpass
hyza,21,16,66.7,72.0%,1.15,Take Flyte,1 JIN,Vertigo
Grizz,21,12,93.1,83.3%,1.51,Limitless,Cartel terraza,Nuke
f4stzin,23,18,94.9,77.8%,1.22,Flamengo,RED Canids,Ancient
togs,20,11,94.8,90.5%,1.61,Sharks,Meta,Vertigo
X5G7V,14,17,59.0,81.5%,0.93,K23,SAW,Nuke
mynio,18,11,92.0,72.7%,1.37,9INE,1WIN,Overpass
ROGA,21,9,79.9,84.6%,1.42,Partizan,ECSTATIC,Anubis
RICIOLI,23,18,107.4,82.1%,1.41,ODDIK,RED Canids,Nuke
Krad,14,18,65.0,63.6%,0.88,FORZE,FaZe,Mirage
nifee,11,17,67.6,70.8%,0.83,Iron Branch,Spirit Academy,Inferno
Magnojez,32,20,92.8,74.3%,1.41,K23,Astralis Talent,Anubis
Liazz,25,13,103.5,87.5%,1.67,Grayhound,VERTEX,Vertigo
hazr,22,16,91.2,79.3%,1.37,VERTEX,Rooster,Overpass
hera,31,26,77.7,64.3%,1.16,W7M fe,MIBR fe,Mirage
Magisk,21,20,70.7,73.3%,1.09,Vitality,ENCE,Vertigo
Maze,18,15,70.7,65.4%,1.01,Believe,Coalesce,Mirage
mhL,27,20,84.7,79.4%,1.24,Endpoint,PROSPECTS,Vertigo
juliano,20,14,84.3,79.2%,1.34,G2 Oya,Angels,Vertigo
maNkz,16,25,75.6,57.1%,0.82,ECSTATIC,BIG Academy,Anubis
flusha,18,19,82.7,66.7%,1.08,EYEBALLERS,SAW,Vertigo
SHiPZ,23,12,98.6,80.0%,1.57,500,Viperio,Overpass
Woro2k,20,9,83.0,81.0%,1.5,Monte,PALOMA,Vertigo
HObbit,14,12,67.3,69.2%,1.13,Cloud9,MOUZ,Mirage
Xant3r,27,24,81.8,63.9%,1.12,Insilio,PROSPECTS,Vertigo
olimp,22,20,91.5,75.9%,1.2,PALOMA,ECLOT,Vertigo
salazar,20,13,68.4,81.5%,1.22,ECSTATIC,Illuminar,Nuke
gas,19,14,78.3,84.0%,1.3,Wings Up,Clutch,Anubis
baz,17,15,75.6,70.8%,1.11,Spirit Academy,Monte,Vertigo
oskar,14,16,67.8,58.3%,0.94,SINNERS,BIG Academy,Overpass
Hatz,23,10,99.7,75.0%,1.52,Encore,e-LEMON-ators,Inferno
droid,31,34,78.7,85.7%,1.1,timbermen,Strife,Overpass
junior,23,19,90.8,80.0%,1.28,EG Black,ATK,Vertigo
donk,23,17,84.9,76.0%,1.27,Spirit Academy,LDLC,Overpass
frozen,20,12,94.8,69.6%,1.44,MOUZ,paiN,Ancient
jiejie,17,17,74.1,65.0%,0.84,Newhappy,IHC,Mirage
phzy,18,14,76.0,75.0%,1.09,Sangal,Monte,Ancient
dream3r,21,12,89.1,82.6%,1.51,359,AGO,Mirage
dobu,21,20,85.0,78.6%,1.13,Eruption,Clutch,Nuke
ChildKing,15,18,67.9,58.3%,0.79,Wings Up,Lynn Vision,Nuke
Magnojez,21,14,95.3,79.2%,1.37,K23,Viperio,Inferno
raalz,21,21,78.3,76.7%,1.15,Copenhagen Flames,LDLC,Overpass
zorte,23,21,69.7,71.4%,1.06,FORZE,1WIN,Overpass
Wolfie,21,24,67.0,75.0%,0.99,Into the Bin,PALOMA,Mirage
Blytz,26,20,91.0,80.0%,1.36,Let us cook,EYEBALLERS,Anubis
Perfecto,21,11,113.1,80.0%,1.63,Natus Vincere,00NATION,Mirage
Kind0,23,25,78.8,69.4%,1.03,iNation,Nexus,Inferno
Krimbo,21,14,78.8,85.7%,1.34,BIG,HAVU,Mirage
Bart4k,19,12,86.9,72.7%,1.38,IHC,Clutch,Overpass
nolkz,8,17,55.9,65.0%,0.68,Fuscão 1500,RED Canids,Ancient
RUSH,23,14,91.5,81.8%,1.39,EG Black,timbermen,Vertigo
tomiko,17,18,74.7,43.5%,0.86,AGO,SINNERS,Vertigo
detr0ittJ,21,17,65.5,73.3%,1.07,RED Canids,Corinthians,Nuke
Magnojez,20,23,68.8,73.3%,1.08,K23,BIG Academy,Overpass
Patrick,15,17,68.7,73.1%,1.09,500,Endpoint,Overpass
Kristou,19,13,80.1,79.2%,1.38,Astralis Talent,359,Overpass
delboNi,21,12,95.2,79.2%,1.44,Flamengo,WINDINGO,Ancient
Weeza,19,21,91.8,73.1%,1.2,Melly Madness,REIGN,Inferno
STRiiDER,25,16,83.5,76.7%,1.3,X13,7AM NA,Overpass
birdfromsky,22,21,90.5,75.0%,1.23,Copenhagen Flames,ECSTATIC,Vertigo
oxygeN,13,17,65.0,57.1%,0.77,359,1WIN,Mirage
blameF,24,14,95.4,78.6%,1.47,Astralis,Spirit,Ancient
oskar,11,16,57.0,50.0%,0.64,SINNERS,MOUZ NXT,Nuke
lauNX,18,16,57.6,73.1%,1.09,Sprout,Copenhagen Flames,Ancient
dav1deuS,25,16,113.6,81.8%,1.5,9z,O PLANO,Nuke
mello,21,15,72.8,67.9%,1.17,FURIA Academy,paiN Academy,Vertigo
kNgV-,24,18,83.9,66.7%,1.25,O PLANO,Fluxo,Mirage
freshie,22,17,85.9,69.2%,1.3,Detonate,timbermen,Overpass
KAISER,19,18,81.3,60.9%,1.04,Furious,Corinthians,Inferno
sad,23,26,94.3,63.3%,0.98,Iron Branch,B8,Ancient
SaMey,23,14,85.1,88.5%,1.3,HONORIS,K23,Inferno
CacaNito,30,25,82.6,64.7%,1.18,ATK,Astralis,Inferno
versa,14,17,67.7,64.0%,0.91,sunday school,Encore,Nuke
notaN,20,17,76.5,61.5%,1.09,MASONIC,XI,Overpass
sterling,19,18,67.4,60.7%,0.98,Encore,VERTEX,Nuke
Penguin,19,15,90.1,85.2%,1.29,X13,Snakes Den,Ancient
t9rnay,19,19,82.4,71.4%,1.18,RED Canids,Corinthians,Inferno
Moseyuh,14,17,77.4,69.6%,1.0,Rare Atom,Natus Vincere,Overpass
tomiko,16,20,70.0,55.6%,0.85,AGO,Nexus,Vertigo
zorte,24,17,91.8,71.4%,1.34,FORZE,Sangal,Ancient
Altekz,22,21,98.1,60.0%,1.24,Astralis Talent,BIG Academy,Vertigo
drg,17,18,63.8,73.3%,0.98,Sharks,Fluxo,Mirage
Nexius,13,20,70.9,66.7%,0.85,MOUZ NXT,HEET,Ancient
BiBiAhn,16,10,94.0,85.0%,1.46,CLG Red,Shimmer,Inferno
piriaz1n,25,18,88.0,76.7%,1.29,O PLANO,CARECAS,Mirage
rdnzao,21,15,87.0,80.0%,1.35,Sharks,Meta,Ancient
gla1ve,18,21,62.7,64.3%,0.97,Astralis,Natus Vincere,Inferno
realz1n,21,14,80.4,78.6%,1.31,RED Canids,ARCTIC,Nuke
FRANSSON,19,21,84.6,88.0%,1.06,PROSPECTS,B8,Ancient
christo,17,18,71.8,78.6%,1.03,FUSION,Paquetá,Nuke
max,17,20,68.2,71.4%,0.89,9z,fnatic,Ancient
JDC,13,17,61.8,61.5%,0.81,MOUZ,9INE,Nuke
faveN,18,9,76.9,81.8%,1.36,BIG,Heroic,Overpass
FalleN,21,16,75.6,63.3%,1.16,Imperial,TheMongolz,Mirage
Maka,25,22,80.6,74.3%,1.16,HEET,ALTERNATE aTTaX,Overpass
brutmonster,10,16,49.5,68.2%,0.79,Zero Tenacity,ENCE Academy,Overpass
flusha,21,21,92.9,72.4%,1.21,EYEBALLERS,BIG Academy,Overpass
bevve,17,20,62.8,76.9%,0.94,Into the Win,HEET,Ancient
Altekz,13,12,83.9,87.5%,1.18,Astralis Talent,Nexus,Inferno
raalz,25,24,69.4,69.4%,1.02,Copenhagen Flames,Sampi,Overpass
Cjoffo,14,17,54.2,66.7%,0.85,Zero Tenacity,PROSPECTS,Inferno
IceBerg,13,19,76.7,56.5%,0.81,Tricked,ECLOT,Anubis
darko,19,17,62.8,72.4%,1.07,PGE Turow,Enterprise,Mirage
short,22,16,87.5,69.2%,1.3,ARCTIC,Paquetá,Inferno
hardzao,12,18,63.4,81.5%,0.96,paiN,Strife,Vertigo
HENU,16,17,74.2,72.4%,1.03,ENCE Academy,BLINK,Vertigo
max,26,23,83.8,71.4%,1.2,9z,BESTIA,Mirage
abby,20,18,73.8,71.4%,1.12,Shimmer,Detonate SparX,Ancient
rdnzao,16,5,91.6,94.1%,1.57,Sharks,Case,Mirage
prosus,18,13,85.0,71.4%,1.28,BIG Academy,ENCE Academy,Overpass
krabeni,13,19,68.6,47.8%,0.75,BLINK,Nexus,Mirage
cJ,24,26,70.6,65.7%,0.97,Nouns,Party Astronauts,Nuke
freakazoid,19,18,80.8,69.2%,1.08,Mythic,timbermen,Anubis
ALLE,19,16,64.1,73.3%,1.03,Paquetá,Solid,Anubis
decenty,23,17,90.2,75.0%,1.25,O PLANO,INTZ,Mirage
oopee,19,20,68.5,73.3%,1.05,VISU,Sampi,Overpass
history,21,19,77.8,70.0%,1.07,Fluxo,RED Canids,Nuke
Liazz,23,15,77.8,80.8%,1.27,Grayhound,VERTEX,Mirage
krabeni,7,17,55.9,42.1%,0.49,BLINK,Sampi,Mirage
nosraC,17,20,75.4,74.1%,1.06,Nouns,Party Astronauts,Mirage
cxzi,25,32,79.0,66.7%,0.93,Party Astronauts,ATK,Inferno
Bwills,22,20,72.4,66.7%,1.14,Nouns,Detonate,Overpass
dumau,14,13,75.9,95.8%,1.26,00NATION,Fluxo,Inferno
coolio,14,18,66.7,56.5%,0.69,DomiNation,LDLC,Vertigo
kadziu,17,15,65.4,66.7%,1.08,PGE Turow,AGO,Ancient
tabseN,10,20,68.2,47.8%,0.67,BIG,Vitality,Overpass
eDi,17,11,78.7,86.4%,1.26,VISU,Sampi,Nuke
berzerk,18,18,60.8,61.5%,0.88,Apeks Rebels,Nexus,Nuke
Spiidi,19,12,77.2,73.9%,1.28,ALTERNATE aTTaX,BLINK,Ancient
lattykk,17,19,58.0,77.1%,1.02,Aurora,Eternal Fire,Inferno
juissi,20,14,82.2,61.5%,1.22,ENCE Academy,JANO,Mirage
n9xtz,13,19,59.6,72.0%,0.83,00NATION,9z,Inferno
w1,22,25,72.5,67.6%,0.99,INTZ,Fluxo,Nuke
cxzi,25,30,79.2,73.8%,1.04,Party Astronauts,Nouns,Overpass
Tauson,17,10,95.6,88.9%,1.58,MASONIC,JANO,Ancient
pullox,20,15,74.1,77.8%,1.17,GUILD,G2 Oya,Inferno
asran,19,19,89.4,74.1%,1.17,AGO,ESCA,Vertigo
bodyy,18,19,82.6,63.0%,1.09,Falcons,B8,Ancient
ultimate,20,15,67.6,74.1%,1.11,PGE Turow,Cryptova,Ancient
brutmonster,30,33,63.7,64.6%,0.96,Zero Tenacity,sYnck,Inferno
sLowi,14,13,74.8,71.4%,1.22,JANO,Enterprise,Nuke
Buzz,14,16,68.2,76.9%,0.99,Astralis,Spirit,Overpass
Pelle,13,19,61.7,65.4%,0.78,yologang420,Cryptova,Overpass
b1elany,21,14,84.2,80.0%,1.28,PGE Turow,Cryptova,Ancient
FRANSSON,12,18,67.8,54.2%,0.77,PROSPECTS,BLINK,Vertigo
byr9,15,17,76.9,68.0%,0.97,IKLA,AGO,Overpass
biguzera,18,19,67.8,66.7%,0.93,paiN,FURIA,Mirage
YEKINDAR,20,15,78.9,68.0%,1.24,Liquid,Nouns,Nuke
sapphire,19,19,71.0,59.3%,0.99,Detonate SparX,Shimmer,Inferno
KWERTZZ,26,27,74.9,63.9%,0.99,SINNERS,Cryptova,Overpass
Twistzz,24,25,70.9,82.4%,1.07,FaZe,MOUZ,Inferno
juanflatroo,19,13,81.8,69.6%,1.25,Bad News Eagles,GamerLegion,Vertigo
hasteka,15,22,71.7,53.6%,0.78,TheMongolz,Grayhound,Ancient
nitr0,13,17,60.5,60.0%,0.79,Liquid,FURIA,Mirage
delboNi,14,17,87.1,72.7%,0.96,Flamengo,Nouns,Mirage
Luken,14,17,57.6,61.5%,0.77,BESTIA,MIBR,Inferno
Brehze,15,19,48.3,63.0%,0.77,Evil Geniuses,Paquetá,Overpass
Darber,15,19,67.5,63.6%,0.95,Cryptova,ECLOT,Overpass
KAISER,18,17,61.0,76.7%,0.99,Furious,Boca Juniors,Ancient
Thomas,20,14,93.6,91.3%,1.43,Into the Breach,B8,Vertigo
beastik,18,10,82.0,77.3%,1.26,SINNERS,Sampi,Nuke
znxxX,20,16,76.6,78.6%,1.21,Websterz,MOON,Mirage
Python,10,19,55.7,62.5%,0.75,Falcons,GamerLegion,Mirage
dobu,17,22,79.9,61.5%,0.9,Eruption,Twisted Minds,Anubis
shyyne,20,21,80.1,59.3%,0.95,Coalesce,JANO,Anubis
Lobanjica,19,16,103.5,87.0%,1.46,Twisted Minds,VERTEX,Inferno
jitter,15,24,65.5,57.1%,0.76,yur,Nouns,Overpass
DeStiNy,20,16,79.5,80.8%,1.19,Paquetá,Solid,Anubis
restikk,11,15,49.9,47.6%,0.76,WINDINGO,Boca Juniors,Nuke
nbqq,21,14,69.0,82.1%,1.19,ECLOT,Sampi,Overpass
enzero,15,25,72.1,53.8%,0.77,HYDRA,MOON,Ancient
r1nkle,18,23,66.3,65.5%,0.92,B8,fnatic,Ancient
KWERTZZ,11,19,59.6,50.0%,0.69,SINNERS,Cryptova,Anubis
tN1R,18,19,80.4,67.9%,1.1,Websterz,Forward,Inferno
MUTiRiS,13,19,53.1,81.5%,0.82,SAW,OG,Inferno
Zyphon,17,9,83.5,86.4%,1.42,Sprout,Viperio,Anubis
Patti,23,20,87.1,67.9%,1.13,Astralis Talent,Zero Tenacity,Inferno
Sapec,12,22,69.9,50.0%,0.56,EYEBALLERS,LDLC,Ancient
tomiko,17,22,76.0,69.2%,0.92,AGO,BLINK,Anubis
Lucky,26,25,82.2,80.0%,1.15,HEET,PALOMA,Vertigo
smekk-,20,29,71.5,58.3%,0.79,Nexus,Apeks Rebels,Ancient
Demho,21,10,81.0,70.8%,1.39,Illuminar,NtK,Nuke
blameF,17,17,69.6,79.3%,1.0,Astralis,Cloud9,Overpass
flameZ,16,18,71.8,78.6%,1.06,OG,fnatic,Ancient
nbqq,26,25,92.6,58.8%,1.09,ECLOT,empire goblins,Anubis
RICIOLI,5,17,36.1,27.8%,0.33,ODDIK,Fuscão 1500,Overpass
phx,10,21,53.4,48.1%,0.67,MIBR Academy,FURIA Academy,Vertigo
Tionix,13,19,58.5,73.1%,0.81,GHR,BIG Academy,Inferno
sh1ro,16,6,82.2,78.9%,1.42,Cloud9,BIG,Mirage
SasukeQO,16,20,76.7,52.0%,0.85,FROGS,Into the Bin,Mirage
KRIMZ,23,27,81.1,61.1%,0.94,fnatic,Ninjas in Pyjamas,Ancient
NEOFRAG,19,15,70.9,63.0%,1.15,OG,GODSENT,Ancient
krazy,22,18,70.2,69.0%,1.11,Make Your Destiny,Arcadia,Anubis
pavv,19,21,90.5,89.7%,1.22,Boca Juniors,FURIA Academy,Ancient
NEKIZ,21,21,78.9,71.4%,1.09,paiN,Liquid,Mirage
dobbo,14,9,65.1,95.2%,1.33,Into the Bin,Choppers,Mirage
sirah,24,21,67.2,77.8%,1.17,MASONIC,BIG Academy,Vertigo
faveN,25,20,91.8,75.0%,1.22,BIG,9INE,Overpass
headtr1ck,12,19,52.1,55.6%,0.71,Ninjas in Pyjamas,Cloud9,Overpass
device,15,11,73.8,81.8%,1.2,Astralis,GODSENT,Ancient
skyye,28,27,69.4,73.8%,1.03,BIG Academy,JANO,Anubis
arT,15,22,71.4,75.9%,0.99,FURIA,EG Black,Inferno
jz,11,18,62.9,45.5%,0.75,CARECAS,Desorganizados,Nuke
Grim,18,22,65.9,70.4%,0.82,Complexity,Imperial,Overpass
S0tF1k,10,16,59.3,64.0%,0.73,Spirit Academy,Monte,Vertigo
asran,17,19,70.4,63.0%,0.9,AGO,EPIC DUDES,Ancient
Aleksib,11,16,64.8,78.3%,0.82,Ninjas in Pyjamas,Cloud9,Vertigo
sLowi,17,20,76.8,70.0%,1.0,JANO,Make Your Destiny,Inferno
Sterzig,20,15,84.2,76.9%,1.23,undefined,Fourteen,Vertigo
ztr,17,13,62.6,72.0%,1.17,GODSENT,fnatic,Anubis
baz,15,18,52.3,69.0%,0.91,Spirit Academy,Endpoint,Mirage
d4rty,19,19,67.1,74.1%,0.9,Strife,ATK,Overpass
roeJ,20,24,73.7,71.4%,0.96,fnatic,9INE,Nuke
Snowzin,19,14,93.1,77.3%,1.39,Case,MIBR Academy,Nuke
Xant3r,18,22,84.4,79.3%,1.13,Insilio,Into the Bin,Ancient
Dragon,22,18,82.1,82.1%,1.14,iNation,EYEBALLERS,Overpass
skullz,17,17,82.5,76.9%,1.15,paiN,MIBR,Vertigo
r1see,18,19,73.0,71.4%,1.03,ODDIK,Boca Juniors,Ancient
pullox,10,21,60.4,68.2%,0.7,GUILD,Flames Shieldmaidens,Overpass
aurora,16,16,62.9,64.0%,0.88,Astralis fe,NIP Impact,Overpass
Adam9130,20,21,85.7,73.3%,1.12,Into the Bin,Zero Tenacity,Inferno
Aleksib,16,8,89.2,81.8%,1.36,Ninjas in Pyjamas,OG,Overpass
Duplicate,12,17,49.3,65.2%,0.67,Partizan,PALOMA,Mirage
Magnojez,20,19,75.6,65.5%,1.04,K23,ROYALS,Mirage
Djoko,18,13,73.3,66.7%,1.12,HEET,Iron Branch,Anubis
Gizmy,10,18,55.0,47.6%,0.75,Viperio,ENCE Academy,Ancient
Swisher,12,20,65.5,75.0%,0.92,ATK,EG Black,Inferno
Jeorge,17,9,92.2,81.0%,1.48,EG Black,Vendetta,Inferno
ztr,20,12,87.1,84.0%,1.35,GODSENT,EPIC DUDES,Inferno
t9rnay,17,7,85.4,86.4%,1.44,RED Canids,Fuscão 1500,Ancient
eraa,16,16,58.1,85.7%,1.04,Young Ninjas,MOUZ NXT,Ancient
donk,21,15,86.7,84.6%,1.33,Spirit Academy,PROSPECTS,Vertigo
Girafffe,22,26,63.8,70.0%,0.92,Viperio,BLINK,Vertigo
Krimbo,15,19,69.0,69.2%,0.85,BIG,GODSENT,Inferno
hype,17,15,69.5,75.0%,1.13,PROSPECTS,NtK,Inferno
juissi,19,17,81.0,79.2%,1.19,ENCE Academy,Zero Tenacity,Mirage
SWANKY,16,17,65.5,73.1%,0.87,Rooster,e-LEMON-ators,Vertigo
stamina,31,33,74.6,68.3%,1.04,Strife,Vendetta,Inferno
HexT,10,19,54.1,56.5%,0.61,EG Black,ATK,Inferno
MisteM,18,18,78.9,70.4%,1.05,ATK,Vendetta,Inferno
lattykk,14,15,67.6,66.7%,0.91,Aurora,Apeks,Anubis
atarax1a,20,13,81.1,75.0%,1.28,Boca Juniors,CARECAS,Inferno
Forester,17,18,76.3,76.7%,1.09,1WIN,Falcons,Nuke
malta,17,15,79.5,76.0%,1.17,VERTEX,sunday school,Inferno
fl0m,19,17,72.2,71.4%,1.0,Mythic,Davenport University,Overpass
Diviiii,13,17,54.1,65.2%,0.84,Arcadia,HYDRA,Nuke
dennyslaw,17,16,59.2,75.9%,1.05,500,Partizan,Inferno
Ksu,21,22,83.2,70.0%,1.04,9 Pandas Fearless,NIP Impact,Anubis
mASKED,23,18,73.6,72.4%,1.18,Illuminar,BIG Academy,Mirage
bogeymanh,20,22,83.5,66.7%,1.12,DeadWeight,Arena,Anubis
Cooper,20,21,78.8,76.7%,1.05,Mythic,Take Flyte,Ancient
Roflko,24,25,71.6,54.3%,0.96,better than you,Arena,Inferno
corn,20,18,72.0,82.8%,1.11,Davenport University,Cartel terraza,Anubis
Seb,20,16,76.2,84.6%,1.1,Snakes Den,Limitless,Nuke
kYOShix,14,16,69.8,70.8%,0.84,Hype,Fuscão 1500,Ancient
Bjarni,23,20,73.9,72.4%,1.19,Atlantic,Þór,Anubis
KalubeR,29,22,82.9,68.6%,1.25,Partizan,Coalesce,Anubis
rain,23,17,105.2,80.0%,1.45,FaZe,Natus Vincere,Mirage
Gafolo,25,13,98.0,84.0%,1.48,Sharks,Flamengo,Ancient
TRAVIS,20,19,69.2,60.0%,1.02,1WIN,Monte,Nuke
Ro1f,15,15,50.3,77.8%,1.06,PROSPECTS,Young Ninjas,Overpass
danoco,20,15,98.1,81.8%,1.31,RED Canids,ODDIK,Anubis
dennyslaw,17,9,63.2,83.3%,1.21,500,Insilio,Ancient
FRANSSON,19,25,60.3,75.0%,0.94,PROSPECTS,Iron Branch,Overpass
isk,41,34,82.1,68.8%,1.12,Believe,Budapest Five,Vertigo
pz,20,17,74.0,77.8%,1.18,VERTEX,Rooster,Overpass
xCAPE,19,18,81.1,72.0%,1.11,Take Flyte,1 JIN,Vertigo
JBa,20,10,76.8,83.3%,1.3,Limitless,Cartel terraza,Nuke
SHOOWTiME,18,16,56.1,74.1%,1.12,Flamengo,RED Canids,Ancient
rdnzao,18,12,88.3,81.0%,1.44,Sharks,Meta,Vertigo
Magnojez,16,23,72.0,59.3%,0.89,K23,SAW,Nuke
Goofy,17,13,88.6,86.4%,1.27,9INE,1WIN,Overpass
Duplicate,16,18,83.4,65.4%,1.07,Partizan,ECSTATIC,Anubis
vLa,17,16,74.4,89.3%,1.28,ODDIK,RED Canids,Nuke
zorte,10,20,59.8,63.6%,0.54,FORZE,FaZe,Mirage
Ganginho,15,18,54.3,58.3%,0.72,Iron Branch,Spirit Academy,Inferno
X5G7V,23,16,60.7,77.1%,1.2,K23,Astralis Talent,Anubis
INS,15,16,91.9,79.2%,1.08,Grayhound,VERTEX,Vertigo
pz,21,16,73.4,72.4%,1.19,VERTEX,Rooster,Overpass
mari,26,26,61.5,71.4%,0.97,W7M fe,MIBR fe,Mirage
dupreeh,19,20,65.0,70.0%,0.98,Vitality,ENCE,Vertigo
Banjo,17,19,72.0,76.9%,0.99,Believe,Coalesce,Mirage
MiGHTYMAX,23,20,72.8,76.5%,1.14,Endpoint,PROSPECTS,Vertigo
kr4sy,16,12,70.9,75.0%,1.11,G2 Oya,Angels,Vertigo
Queenix,12,19,59.0,57.1%,0.81,ECSTATIC,BIG Academy,Anubis
Peppzor,17,20,81.4,66.7%,1.05,EYEBALLERS,SAW,Vertigo
Patrick,18,13,81.5,80.0%,1.17,500,Viperio,Overpass
BOROS,18,18,100.5,81.0%,1.34,Monte,PALOMA,Vertigo
nafany,19,18,78.5,61.5%,1.13,Cloud9,MOUZ,Mirage
Pipw,25,26,77.4,77.8%,1.12,Insilio,PROSPECTS,Vertigo
Layner,20,18,66.2,69.0%,1.05,PALOMA,ECLOT,Vertigo
kraghen,21,16,91.6,70.4%,1.22,ECSTATIC,Illuminar,Nuke
Marek,18,18,80.4,88.0%,1.25,Wings Up,Clutch,Anubis
S0tF1k,12,19,67.5,62.5%,0.79,Spirit Academy,Monte,Vertigo
ZEDKO,15,18,70.7,58.3%,0.83,SINNERS,BIG Academy,Overpass
versa,13,7,65.1,85.0%,1.21,Encore,e-LEMON-ators,Inferno
shane,31,34,77.9,66.7%,1.01,timbermen,Strife,Overpass
RUSH,26,18,77.9,76.7%,1.25,EG Black,ATK,Vertigo
ArtFr0st,16,13,56.6,76.0%,1.16,Spirit Academy,LDLC,Overpass
dexter,20,13,92.5,65.2%,1.43,MOUZ,paiN,Ancient
tutu,10,15,70.0,65.0%,0.8,Newhappy,IHC,Mirage
kyuubii,14,18,57.5,75.0%,0.88,Sangal,Monte,Ancient
hybrid,18,10,76.4,82.6%,1.4,359,AGO,Mirage
yAmi,17,19,68.2,75.0%,1.0,Eruption,Clutch,Nuke
flying,13,19,55.2,70.8%,0.77,Wings Up,Lynn Vision,Nuke
Raijin,17,16,87.4,75.0%,1.28,K23,Viperio,Inferno
b0RUP,19,22,77.3,73.3%,1.0,Copenhagen Flames,LDLC,Overpass
r3salt,21,26,74.6,71.4%,1.03,FORZE,1WIN,Overpass
robiin,23,29,75.5,61.1%,0.87,Into the Bin,PALOMA,Mirage
s0und,25,21,93.7,63.3%,1.24,Let us cook,EYEBALLERS,Anubis
electroNic,19,15,101.5,70.0%,1.38,Natus Vincere,00NATION,Mirage
Dragon,23,23,68.6,75.0%,1.01,iNation,Nexus,Inferno
tabseN,19,16,81.3,71.4%,1.16,BIG,HAVU,Mirage
bLitz,21,13,81.4,86.4%,1.35,IHC,Clutch,Overpass
gbb,9,20,61.4,45.0%,0.6,Fuscão 1500,RED Canids,Ancient
HexT,18,13,89.6,81.8%,1.3,EG Black,timbermen,Vertigo
Enzo,10,21,56.0,47.8%,0.67,AGO,SINNERS,Vertigo
danoco,21,19,74.7,73.3%,1.03,RED Canids,Corinthians,Nuke
Jyo,19,18,73.5,66.7%,1.07,K23,BIG Academy,Overpass
SHiPZ,18,20,75.5,61.5%,0.96,500,Endpoint,Overpass
br0,19,8,79.3,83.3%,1.36,Astralis Talent,359,Overpass
zqkS,17,11,78.3,79.2%,1.37,Flamengo,WINDINGO,Ancient
Bigantt,22,15,79.0,69.2%,1.19,Melly Madness,REIGN,Inferno
Drewtheshrew,25,21,91.6,76.7%,1.27,X13,7AM NA,Overpass
raalz,18,16,71.8,92.9%,1.22,Copenhagen Flames,ECSTATIC,Vertigo
hybrid,9,18,47.1,47.6%,0.6,359,1WIN,Mirage
Xyp9x,18,15,78.8,71.4%,1.14,Astralis,Spirit,Ancient
Tomkeejs,10,17,66.2,54.5%,0.61,SINNERS,MOUZ NXT,Nuke
Staehr,17,19,77.3,69.2%,0.95,Sprout,Copenhagen Flames,Ancient
max,13,10,68.0,95.5%,1.3,9z,O PLANO,Nuke
zmb,16,12,73.9,75.0%,1.15,FURIA Academy,paiN Academy,Vertigo
decenty,22,19,78.1,76.7%,1.16,O PLANO,Fluxo,Mirage
Cryptic,22,18,90.0,69.2%,1.21,Detonate,timbermen,Overpass
laser,14,19,64.4,73.9%,0.82,Furious,Corinthians,Inferno
MaSvAl,16,19,60.6,80.0%,0.94,Iron Branch,B8,Ancient
lunAtic,19,15,74.8,76.9%,1.2,HONORIS,K23,Inferno
b0denmaster,16,22,51.3,58.8%,0.87,ATK,Astralis,Inferno
rekonz,15,20,69.1,60.0%,0.8,sunday school,Encore,Nuke
Anlelele,17,21,78.6,69.2%,1.0,MASONIC,XI,Overpass
SaVage,18,19,67.3,67.9%,0.95,Encore,VERTEX,Nuke
Drewtheshrew,18,18,76.0,70.4%,1.12,X13,Snakes Den,Ancient
realz1n,18,15,63.1,92.9%,1.15,RED Canids,Corinthians,Inferno
kaze,13,15,65.7,73.9%,0.93,Rare Atom,Natus Vincere,Overpass
asran,17,21,68.1,51.9%,0.85,AGO,Nexus,Vertigo
r3salt,22,24,87.6,75.0%,1.16,FORZE,Sangal,Ancient
br0,21,20,80.1,63.3%,1.08,Astralis Talent,BIG Academy,Vertigo
chay,22,23,72.9,56.7%,0.93,Sharks,Fluxo,Mirage
Q-Q,10,18,58.9,47.6%,0.64,MOUZ NXT,HEET,Ancient
GooseBreeder,19,10,87.8,85.0%,1.45,CLG Red,Shimmer,Inferno
shz,25,18,89.7,73.3%,1.22,O PLANO,CARECAS,Mirage
drg,16,14,60.3,80.0%,1.05,Sharks,Meta,Ancient
blameF,17,18,63.8,64.3%,0.97,Astralis,Natus Vincere,Inferno
danoco,17,22,59.2,64.3%,0.84,RED Canids,ARCTIC,Nuke
bobeksde,17,19,72.1,72.0%,1.02,PROSPECTS,B8,Ancient
guidimon,19,23,75.4,71.4%,0.92,FUSION,Paquetá,Nuke
